A,N*,N1,N2
0.2,0.13157894736842105,0.10552331526441264,0.10228207236842105
0.4,0.2631578947368421,0.21639938787359286,0.2143297697368421
0.6,0.39473684210526316,0.3271957646515299,0.32637746710526316
0.8,0.5263157894736842,0.4381022681421237,0.4384251644736842
1.0,0.6578947368421053,0.5485621806701315,0.5504728618421053
1.2,0.7894736842105263,0.6594112685609219,0.6625205592105263
1.4,0.9210526315789473,0.77012889084405,0.7745682565789473
1.6,1.0526315789473684,0.8810691761915557,0.8768503289473684
1.8,1.1842105263157894,0.9916544628309172,0.9888980263157894
2.0,1.3157894736842106,1.1024957586811173,1.1009457236842106
2.2,1.4473684210526316,1.2133006847449002,1.2129934210526316
2.4,1.5789473684210527,1.3240699880744562,1.3250411184210527
2.6,1.7105263157894737,1.4349423306416866,1.4370888157894737
2.8,1.8421052631578947,1.5458019750177618,1.5491365131578947
3.0,1.9736842105263157,1.6564428301644867,1.6611842105263157
3.2,2.1052631578947367,1.7673924854145018,1.7634662828947367
3.4,2.236842105263158,1.8781130979210623,1.875513980263158
3.6,2.3684210526315788,1.9889153211852986,1.9875616776315788
3.8,2.5,2.099804452115299,2.099609375
4.0,2.6315789473684212,2.2106527629662143,2.2116570723684212
4.2,2.763157894736842,2.321722302138142,2.323704769736842
4.4,2.8947368421052633,2.432503574167064,2.4357524671052633
4.6,3.026315789473684,2.543090066710008,2.538034539473684
4.8,3.1578947368421053,2.6543460480319094,2.6500822368421053
5.0,3.289473684210526,2.7651516922030246,2.762129934210526
5.5,3.6184210526315788,3.0423377654231514,3.0422491776315788
6.0,3.9473684210526314,3.3196676894650246,3.3223684210526314
6.5,4.276315789473684,3.5972141005721454,3.592722039473684
7.0,4.605263157894737,3.8748325295619237,3.872841282894737
7.5,4.934210526315789,4.152334019500106,4.152960526315789
8.0,5.2631578947368425,4.430310061959511,4.4330797697368425
8.5,5.592105263157895,4.708593394734892,4.703433388157895
9.0,5.921052631578947,4.986467741796099,4.983552631578947
9.5,6.25,5.264634899288195,5.263671875
10.0,6.578947368421052,5.543243264045919,5.543791118421052
10.5,6.907894736842105,5.821735370758402,5.823910361842105
11.0,7.2368421052631575,6.100879373409592,6.1040296052631575
11.5,7.565789473684211,6.379997235743335,6.384148848684211
12.0,7.894736842105263,6.659399554240234,6.664268092105263
12.5,8.223684210526315,6.93903671002452,6.934621710526315
13.0,8.552631578947368,7.219327327173909,7.224506578947368
13.5,8.881578947368421,7.499848910321537,7.504625822368421
14.0,9.210526315789474,7.780679314508401,7.784745065789474
