A,N*,N1,N2
0.2,0.15037593984962405,0.1259039581688648,0.13084468984962405
0.4,0.3007518796992481,0.2571908027486758,0.2616893796992481
0.6,0.45112781954887216,0.3883056073889479,0.39253406954887216
0.8,0.6015037593984962,0.5193734711801812,0.5233787593984962
1.0,0.7518796992481203,0.6505350407764421,0.6542234492481203
1.2,0.9022556390977443,0.7816319153023743,0.7850681390977443
1.4,1.0526315789473684,0.9127059738408305,0.9159128289473684
1.6,1.2030075187969924,1.043731424940284,1.0467575187969924
1.8,1.3533834586466165,1.1750409939170336,1.1776022086466165
2.0,1.5037593984962405,1.3062986457145698,1.3084468984962405
2.2,1.6541353383458648,1.437312587252977,1.4392915883458648
2.4,1.8045112781954886,1.568438170536962,1.5701362781954886
2.6,1.9548872180451127,1.6998108548529656,1.7009809680451127
2.8,2.1052631578947367,1.8309984848818572,1.8318256578947367
3.0,2.255639097744361,1.9620657693259893,1.962670347744361
3.2,2.406015037593985,2.093289002627061,2.093515037593985
3.4,2.5563909774436087,2.2243372656325784,2.2243597274436087
3.6,2.706766917293233,2.355612756138028,2.355204417293233
3.8,2.8571428571428568,2.4868400075308994,2.4860491071428568
4.0,3.007518796992481,2.6182079296622893,2.616893796992481
4.2,3.1578947368421053,2.7493610671582216,2.7477384868421053
4.4,3.3082706766917296,2.8806429342302344,2.8785831766917296
4.6,3.458646616541353,3.0120782337685865,3.009427866541353
4.8,3.6090225563909772,3.143345505360977,3.1402725563909772
5.0,3.7593984962406015,3.274499057827474,3.2711172462406015
5.5,4.135338345864661,3.602818741845773,3.5982289708646613
6.0,4.511278195488722,3.9312116078123,3.935106320488722
6.5,4.887218045112782,4.259868445490774,4.262218045112782
7.0,5.263157894736842,4.58845936818741,4.589329769736842
7.5,5.639097744360902,4.917498638062854,4.916441494360902
8.0,6.015037593984962,5.246699513329277,5.243553218984962
8.5,6.390977443609022,5.575731334155979,5.570664943609022
9.0,6.7669172932330826,5.905295633892546,5.9075422932330826
9.5,7.142857142857142,6.235119021919781,6.234654017857142
10.0,7.518796992481203,6.564969561048233,6.561765742481203
10.5,7.894736842105263,6.895162578232529,6.898643092105263
