A,N*,N1,N2
0.2,0.2,0.19511751713606845,0.190234375
0.4,0.4,0.39530994454058244,0.390234375
0.6,0.6,0.5953144063759658,0.590234375
0.8,0.8,0.7953193445751909,0.790234375
1.0,1.0,0.9953213639465888,0.990234375
1.2,1.2,1.1953223099152566,1.190234375
1.4,1.4,1.3953221609705122,1.390234375
1.6,1.6,1.5953198932407906,1.590234375
1.8,1.8,1.7953170656758262,1.790234375
2.0,2.0,1.995313244541718,1.990234375
2.2,2.2,2.1953084995542484,2.190234375
2.4,2.4,2.3953029117018865,2.390234375
2.6,2.6,2.595293145907871,2.590234375
2.8,2.8,2.7952858532652654,2.790234375
3.0,3.0,2.9952780467923397,2.990234375
3.2,3.2,3.19526982381315,3.190234375
3.4,3.4,3.3952569125470893,3.390234375
3.6,3.6,3.595248051764668,3.590234375
3.8,3.8,3.7952390836003933,3.790234375
4.0,4.0,3.995230084769693,3.990234375
4.2,4.2,4.195221124367318,4.190234375
4.4,4.4,4.395207888757475,4.390234375
4.6,4.6,4.595199280845561,4.590234375
4.8,4.8,4.795190891316313,4.790234375
5.0,5.0,4.995182758772939,4.990234375
5.5,5.5,5.495171101549227,5.490234375
6.0,6.0,5.995163718931793,5.990234375
6.5,6.5,6.495156662928117,6.490234375
7.0,7.0,6.995149939774387,6.990234375
7.5,7.5,7.495143550056932,7.490234375
8.0,8.0,7.995134589891839,7.990234375
8.5,8.5,8.495129022800949,8.490234375
9.0,9.0,8.995123769988014,8.990234375
9.5,9.5,9.495118821908324,9.490234375
10.0,10.0,9.995111942952118,9.990234375
10.5,10.5,10.495107702737485,10.490234375
11.0,11.0,10.995103724457366,10.990234375
11.5,11.5,11.495099996106681,11.490234375
12.0,12.0,11.995096506205982,11.990234375
12.5,12.5,12.495091695053237,12.490234375
13.0,13.0,12.995088755820808,12.990234375
13.5,13.5,13.495086020895451,13.490234375
14.0,14.0,13.995083482484738,13.990234375
14.5,14.5,14.495080028399363,14.490234375
15.0,15.0,14.995077952836919,14.990234375
15.5,15.5,15.495076053031003,15.490234375
16.0,16.0,15.995074324693714,15.990234375
16.5,16.5,16.495072764064584,16.490234375
17.0,17.0,16.9950707303988,16.990234375
17.5,17.5,17.495069575495194,17.490234375
18.0,18.0,17.99506857810563,17.990234375
18.5,18.5,18.495067735895535,18.490234375
19.0,19.0,18.995066758210545,18.990234375
19.5,19.5,19.495066293593332,19.490234375
20.0,20.0,19.99506597538087,19.990234375
20.5,20.5,20.495065800868996,20.490234375
21.0,21.0,20.995065766943352,20.990234375
21.5,21.5,21.495065971766465,21.490234375
22.0,22.0,21.99506627367456,21.990234375
22.5,22.5,22.495066702175084,22.490234375
23.0,23.0,22.995067252665677,22.990234375
23.5,23.5,23.495068296296093,23.490234375
24.0,24.0,23.995069126783136,23.990234375
24.5,24.5,24.495070059711672,24.490234375
25.0,25.0,24.99507108746316,24.990234375
26.0,26.0,25.99507220292637,25.990234375
27.0,27.0,26.995074025792096,26.990234375
28.0,28.0,27.995075327554744,27.990234375
29.0,29.0,28.995076689981758,28.990234375
30.0,30.0,29.99507810488525,29.990234375
31.0,31.0,30.995080307712087,30.990234375
32.0,32.0,31.995081817757224,31.990234375
33.0,33.0,32.99508335165317,32.990234375
