A,N*,N1,N2
0.2,0.266,0.27635168605576066,0.275765625
0.4,0.532,0.6387116849251782,0.639421875
0.6,0.798,0.976419176610194,0.97378125
0.8,1.064,1.3034379854801443,1.308140625
1.0,1.33,1.6234503405032208,1.62296875
1.2,1.596,1.9390245707883884,1.937796875
1.4,1.8619999999999999,2.2510645735951504,2.252625
1.6,2.128,2.560075837161179,2.5576875
1.8,2.394,2.866823155703719,2.872515625
2.0,2.66,3.17131184296096,3.177578125
2.2,2.9260000000000006,3.4740779995040847,3.4728750000000006
2.4,3.192,3.7753469977308693,3.7779375
2.6,3.458,4.075196539154477,4.083
2.8,3.7239999999999998,4.374122984550052,4.378296875
3.0,3.99,4.671242905081813,4.67359375
3.2,4.256,4.967928413347818,4.968890625
3.4,4.522,5.263741385563222,5.2641875
3.6,4.788,5.558305996690137,5.559484375
3.8,5.054,5.85247820715314,5.85478125
4.0,5.32,6.145533398944467,6.150078125
4.2,5.586,6.4385626720075555,6.445375
4.4,5.852000000000001,6.7305380311741825,6.740671875000001
4.6,6.117999999999999,7.021543428290778,7.026203124999999
4.8,6.384,7.312813419401569,7.3215
5.0,6.65,7.602779551584035,7.60703125
5.5,7.315,8.327186768254167,8.330625000000001
6.0,7.98,9.049022532969973,9.05421875
6.5,8.645000000000001,9.768656550585805,9.777812500000001
7.0,9.31,10.485881086892906,10.491640625
7.5,9.975000000000001,11.20167932306036,11.215234375000001
8.0,10.64,11.916039661960383,11.9290625
8.5,11.305000000000001,12.628416328647566,12.642890625000001
9.0,11.97,13.339747260767057,13.35671875
9.5,12.635000000000002,14.049835725721508,14.070546875000002
10.0,13.3,14.758870745398893,14.774609375
10.5,13.965000000000002,15.466928066384352,15.488437500000002
11.0,14.63,16.17335285641434,16.192500000000003
11.5,15.295000000000002,16.879877163512226,16.906328125
12.0,15.96,17.584766158787165,17.610390625
12.5,16.625,18.289538262680196,18.314453125
13.0,17.290000000000003,18.993389984553875,19.018515625000003
13.5,17.955000000000002,19.696029333736686,19.722578125000002
14.0,18.62,20.39808332587756,20.426640625
14.5,19.285,21.10019269650401,21.130703125
15.0,19.950000000000003,21.80125072500161,21.834765625000003
15.5,20.615000000000002,22.501835400194306,22.538828125000002
16.0,21.28,23.20157565703344,23.242890625
16.5,21.945,23.90086340474992,23.946953125
17.0,22.610000000000003,24.599811668571792,24.651015625000003
17.5,23.275000000000002,25.29838612446691,25.345312500000002
18.0,23.94,25.996236151077245,26.049375
18.5,24.605,26.693999766720047,26.743671875
19.0,25.270000000000003,27.390774806289855,27.447734375000003
19.5,25.935000000000002,28.087491710784306,28.142031250000002
20.0,26.6,28.783529368673285,28.84609375
20.5,27.265,29.478963484087657,29.540390625
21.0,27.930000000000003,30.174255179091002,30.244453125000003
21.5,28.595000000000002,30.869513870471245,30.938750000000002
22.0,29.26,31.564152627053268,31.633046875
22.5,29.925,32.25819768560619,32.337109375
23.0,30.590000000000003,32.95243047150904,33.03140625
23.5,31.255000000000003,33.645786693548246,33.725703125
24.0,31.92,34.33917433520311,34.42
24.5,32.585,35.03199953569321,35.114296875
25.0,33.25,35.725115790268795,35.818359375
26.0,34.580000000000005,37.111308982222546,37.206953125000005
27.0,35.910000000000004,38.49484912548164,38.595546875000004
28.0,37.24,39.87771091452947,39.984140625
29.0,38.57,41.25975133881009,41.36296875
30.0,39.900000000000006,42.641183486286366,42.751562500000006
31.0,41.230000000000004,44.021224813798966,44.140156250000004
32.0,42.56,45.400352635124385,45.518984375
33.0,43.89,46.779106133304744,46.8978125
34.0,45.220000000000006,48.15594166066241,48.286406250000006
35.0,46.550000000000004,49.53320808384883,49.665234375000004
36.0,47.88,50.90949691776653,51.0440625
37.0,49.21,52.28470498565934,52.422890625
38.0,50.540000000000006,53.659907464708276,53.801718750000006
39.0,51.870000000000005,55.03436520886006,55.170781250000005
40.0,53.2,56.408013642717656,56.549609375
41.0,54.53,57.78122017473735,57.9284375
42.0,55.86000000000001,59.15435415563659,59.29750000000001
43.0,57.190000000000005,60.52612958797824,60.676328125000005
44.0,58.52,61.89782908411508,62.045390625
45.0,59.85,63.26891148091713,63.42421875
46.0,61.18000000000001,64.64027741812488,64.79328125
47.0,62.510000000000005,66.00995180311939,66.16234375
48.0,63.84,67.37976763998923,67.541171875
49.0,65.17,68.74889565834725,68.910234375
50.0,66.5,70.11798706491919,70.279296875
51.0,67.83,71.48666995301049,71.648359375
52.0,69.16000000000001,72.854846547071,73.01742187500001
53.0,70.49000000000001,74.222548177491,74.38648437500001
54.0,71.82000000000001,75.5894469096385,75.75554687500001
55.0,73.15,76.95685656932464,77.124609375
56.0,74.48,78.32281209919718,78.493671875
57.0,75.81,79.6891040421408,79.862734375
58.0,77.14,81.05448394148037,81.231796875
59.0,78.47,82.42051791730992,82.600859375
60.0,79.80000000000001,83.78575017410449,83.96992187500001
61.0,81.13000000000001,85.15060712142215,85.33898437500001
62.0,82.46000000000001,86.51591765500471,86.69828125000001
63.0,83.79,87.88082655414398,88.06734375
64.0,85.12,89.24488463744227,89.43640625
65.0,86.45,90.60920602662056,90.795703125
66.0,87.78,91.97303360850393,92.164765625
67.0,89.11,93.33690504873599,93.5240625
68.0,90.44000000000001,94.70082169168437,94.89312500000001
69.0,91.77000000000001,96.06313543413307,96.25242187500001
70.0,93.10000000000001,97.42708202864476,97.62148437500001
71.0,94.43,98.78990399016054,98.98078125
72.0,95.76,100.15244295738327,100.340078125
73.0,97.09,101.51522277156569,101.709140625
74.0,98.42,102.87703360275988,103.0684375
75.0,99.75,104.23895845970708,104.427734375
76.0,101.08000000000001,105.60097343645113,105.79679687500001
77.0,102.41000000000001,106.96303011348095,107.15609375000001
78.0,103.74000000000001,108.3241134416324,108.51539062500001
79.0,105.07000000000001,109.68518743506198,109.87468750000001
80.0,106.4,111.04594404909221,111.24375
81.0,107.73,112.40600462206699,112.603046875
82.0,109.06,113.76689780096362,113.96234375
83.0,110.39,115.12654166603735,115.321640625
84.0,111.72000000000001,116.48729058752255,116.68093750000001
85.0,113.05000000000001,117.84662344423569,118.04023437500001
86.0,114.38000000000001,119.20577192756551,119.39953125000001
87.0,115.71000000000001,120.56576427744082,120.76859375000001
88.0,117.04,121.92479815580457,122.127890625
89.0,118.37,123.28391455064312,123.4871875
90.0,119.7,124.64279286836076,124.846484375
91.0,121.03,126.00164988743543,126.20578125
92.0,122.36000000000001,127.36088615810694,127.56507812500001
93.0,123.69000000000001,128.71958965371832,128.924375
94.0,125.02000000000001,130.0783793288008,130.2934375
95.0,126.35000000000001,131.4378120963189,131.65273437500002
96.0,127.68,132.79673433904526,133.01203125
97.0,129.01000000000002,134.15648759562924,134.37132812500002
98.0,130.34,135.51476842884028,135.730625
99.0,131.67000000000002,136.87435409845594,137.08992187500002
100.0,133.0,138.2334166599839,138.44921875
101.0,134.33,139.59332514523365,139.808515625
102.0,135.66,140.95310854144154,141.1678125
103.0,136.99,142.31278270344146,142.527109375
104.0,138.32000000000002,143.67317237018565,143.88640625000002
105.0,139.65,145.03330665841494,145.245703125
106.0,140.98000000000002,146.39405843366336,146.60500000000002
107.0,142.31,147.75378310565785,147.964296875
108.0,143.64000000000001,149.11516626745072,149.32359375000001
109.0,144.97,150.47487688959956,150.682890625
110.0,146.3,151.83665620736883,152.0421875
111.0,147.63,153.19773634271323,153.401484375
112.0,148.96,154.55823214248102,154.76078125
113.0,150.29000000000002,155.91976493981556,156.11031250000002
114.0,151.62,157.28141529152458,157.469609375
115.0,152.95000000000002,158.64274112800976,158.82890625000002
116.0,154.28,160.0046011844644,160.1784375
117.0,155.61,161.3662027029638,161.537734375
118.0,156.94,162.72886328884871,162.89703125
119.0,158.27,164.09056406153096,164.2465625
120.0,159.60000000000002,165.4517233987196,165.59609375000002
121.0,160.93,166.8137320233993,166.955390625
122.0,162.26000000000002,168.1767295284351,168.30492187500002
123.0,163.59,169.53856063481578,169.66421875
124.0,164.92000000000002,170.90199868988617,171.01375000000002
125.0,166.25,172.26396589165682,172.373046875
126.0,167.58,173.6272333572595,173.722578125
127.0,168.91,174.99119976718453,175.072109375
128.0,170.24,176.35513667456726,176.421640625
129.0,171.57000000000002,177.71850581968374,177.77117187500002
130.0,172.9,179.0821929391111,179.13046875
131.0,174.23000000000002,180.44463706404522,180.48000000000002
132.0,175.56,181.80887234320124,181.82953125
133.0,176.89000000000001,183.17335657929445,183.17906250000001
134.0,178.22,184.53443110563188,184.52859375
135.0,179.55,185.8972139006472,185.878125
136.0,180.88000000000002,187.25838085755723,187.22765625000002
137.0,182.21,188.62095379016094,188.5771875
138.0,183.54000000000002,189.9816381264672,189.92671875000002
139.0,184.87,191.34361960909516,191.27625
140.0,186.20000000000002,192.7024578681354,192.62578125000002
141.0,187.53,194.06592188398886,193.9753125
142.0,188.86,195.4234848422713,195.32484375
143.0,190.19,196.78546232198227,196.664609375
144.0,191.52,198.14422792936156,198.02390625
145.0,192.85000000000002,199.50522543435582,199.36367187500002
146.0,194.18,200.86446350433496,200.713203125
147.0,195.51000000000002,202.22394778866365,202.06273437500002
148.0,196.84,203.58470914415102,203.412265625
149.0,198.17000000000002,204.9437675891291,204.75203125000002
150.0,199.5,206.3032136577843,206.1015625
