,idx,mean_val,std_up,std_down
0,-5.4998436742514665,,,
1,-5.300043674251461,,,
2,-5.126821796918994,,,
3,-4.993258378304515,,,
4,-4.875970961137038,,,
5,-4.736990182837014,,,
6,-4.637190182837009,,,
7,-4.537790182836949,,,
8,-4.454217294290096,,,
9,-4.377389920931555,,,
10,-4.334858116399027,,,
11,-4.2887423128362645,,,
12,-4.243276773001336,,,
13,-4.19307677300134,,,
14,-4.130123368059875,,,
15,-4.0671709831116,,,
16,-4.012886786674374,,,
17,-3.9581523265093077,,,
18,-3.9077523265093164,,,
19,-3.8703057314507907,,,
20,-3.8326581163990787,,,
21,-3.7867423128363122,,,
22,-3.741276773001337,,,
23,-3.691276773001337,,,
24,-3.628723368059817,,,
25,-3.565970983111538,,,
26,-3.5116867866743107,,,
27,-3.4567523265093407,,,
28,-3.40675232650934,,,
29,-3.36950573145081,,,
30,-3.332058116399093,,,
31,-3.2861423128363265,,,
32,-3.241676773001328,,,
33,-3.191276773001337,,,
34,-3.147048008786677,,,
35,-3.1060506073509973,,,
36,-3.0613347968318037,,,
37,-3.015869829051001,,,
38,-2.984406136212301,28.264447075749082,35.6972528641602,20.831641287337966
39,-2.9499278136205,28.260124612428154,35.83598926268657,20.68425996216974
40,-2.9071523265093306,28.213197652820664,36.00457704195088,20.421818263690447
41,-2.875676967236095,28.111774184916,36.11398912519081,20.10955924464119
42,-2.847831950748685,27.995601274400528,36.166160347599615,19.82504220120144
43,-2.8195537416082024,27.877042634901002,36.22532314280991,19.528762126992092
44,-2.792375618940726,27.764155096683055,36.29691697585333,19.23139321751278
45,-2.7639961225392815,27.588893215957892,36.31388133877097,18.863905093144815
46,-2.7350522601124823,27.279206963928388,36.01912137716601,18.539292550690767
47,-2.6916767730013276,26.539198584945066,35.00709731426913,18.071299855620996
48,-2.6474480087865766,25.674560393093284,33.72433405063642,17.624786735550146
49,-2.6068506073508875,24.77791736001781,32.222726766902184,17.333107953133435
50,-2.561534796831708,23.523205683900965,30.100338099063602,16.946073268738328
51,-2.5170698290509272,22.298859240167097,27.956000811545355,16.64171766878884
52,-2.4848061362122458,21.47660643746198,26.66360389155923,16.289608983364733
53,-2.4511278136204715,20.740097849426384,25.468153584088398,16.01204211476437
54,-2.4092314156489714,20.0004491366679,24.1282764250073,15.8726218483285
55,-2.3827267225695996,19.711615951610813,23.60565542719824,15.817576476023387
56,-2.3561355527771344,19.522213614971744,23.19985099226028,15.844576237683206
57,-2.331774732726971,19.35817769435579,22.836117510116207,15.88023787859537
58,-2.309681819533496,19.226979492445157,22.531956275699258,15.922002709191053
59,-2.292775618940671,19.125887519514272,22.336058162799294,15.915716876229252
60,-2.2651961225392534,19.002104165652863,22.11149125527726,15.892717076028465
61,-2.2364522601125403,18.85476332433102,21.85893927642144,15.850587372240602
62,-2.1939558621410087,18.606082375199374,21.475006772304358,15.737157978094391
63,-2.1542977641201775,18.375953635847285,21.116086213796464,15.635821057898106
64,-2.114954209379478,18.13374694025979,20.751687989269563,15.515805891250018
65,-2.085909192892051,17.91067391435499,20.39958470820116,15.421763120508821
66,-2.046128414592,17.612402884132464,20.014418352462894,15.210387415802035
67,-2.0168698290509317,17.387871046959997,19.797421662460238,14.978320431459759
68,-1.9842061362122596,17.14836138342031,19.576801217268024,14.719921549572593
69,-1.9507278136204351,16.924239185601405,19.41784254975685,14.43063582144596
70,-1.9078314156489136,16.613133304030463,19.181869645135592,14.044396962925335
71,-1.8807267225696016,16.41265112003099,19.065222388710424,13.760079851351556
72,-1.8559641996657734,16.240280346270843,18.946790219944432,13.533770472597254
73,-1.8334572263105406,16.081010477214203,18.810523735748724,13.351497218679683
74,-1.815281702207384,15.944569950435286,18.661531810727013,13.227608090143558
75,-1.8044607110885829,15.882435200444462,18.578822119795873,13.18604828109305
76,-1.7888335996354177,15.790975471626995,18.45799498999454,13.12395595325945
77,-1.7713756189406766,15.68030881522776,18.320529890383277,13.040087740072241
78,-1.748166788733137,15.468880594550816,18.12123594340021,12.816525245701422
79,-1.7216003238358037,15.17439036934017,17.849495251187147,12.499285487493193
80,-1.698427697194345,14.900534569865515,17.581926566672017,12.219142573059013
81,-1.673854808647506,14.527547497587749,17.253477186141918,11.801617809033582
82,-1.6456753122461023,14.075078119618649,16.8247130931315,11.3254431461058
83,-1.6247338977871753,13.726983525750699,16.464378050407955,10.989589001093442
84,-1.6031542093794393,13.426364173241474,16.149903972703886,10.702824373779062
85,-1.5796442251112306,13.113829706305784,15.790029306082108,10.437630106529461
86,-1.5598442251111986,12.914131205011902,15.547727143593224,10.28053526643058
87,-1.5400442251111666,12.768666667746372,15.387890004445435,10.149443331047308
88,-1.5164698290508958,12.586461004995567,15.18533469871213,9.987587311279004
89,-1.497849517458627,12.444898258399038,15.02464080416416,9.865155712633914
90,-1.4742740303474586,12.254628518326749,14.808439523696457,9.700817512957041
91,-1.452210337508809,12.066758145145428,14.592011526360803,9.541504763930053
92,-1.4318103375088365,11.855422575628959,14.363042331007545,9.347802820250372
93,-1.4154566556438097,11.680776625573069,14.169158277014546,9.192394974131592
94,-1.3897267225696162,11.389267898374493,13.87318642776363,8.905349368985357
95,-1.3697267225696343,11.145039428429579,13.628103835618461,8.661975021240696
96,-1.3488483961030435,10.904846423557576,13.366184765164459,8.443508081950693
97,-1.3332572263105456,10.73692635859559,13.186500044424886,8.287352672766293
98,-1.3158817022073699,10.561738060259374,12.988494493101872,8.134981627416877
99,-1.306423116666334,10.496196811722179,12.912176789248,8.080216834196357
100,-1.2966812146871516,10.437747079734905,12.842307565410502,8.033186594059307
101,-1.2866322562062276,10.379515025766064,12.784118163106232,7.974911888425897
102,-1.2751758109469906,10.314368230912445,12.727303698630354,7.901432763194535
103,-1.2614003238358633,10.238087305049786,12.680593555388295,7.795581054711277
104,-1.241400323835836,10.089987049901945,12.586045946264829,7.593928153539061
105,-1.218227697194377,9.929657813277421,12.446650427982943,7.412665198571899
106,-1.191218674980569,9.755836794157265,12.254498943942407,7.257174644372123
