A,N*,N1,N2
0.2,0.17500000000000002,0.14806215272665943,0.14570312500000002
0.4,0.35000000000000003,0.30179955511564466,0.30117187500000003
0.6,0.525,0.4552285272968061,0.456640625
0.8,0.7000000000000001,0.6085522354437417,0.6121093750000001
1.0,0.875,0.7621941247778539,0.7578125
1.2,1.05,0.9156176874100299,0.91328125
1.4,1.225,1.069174999473696,1.06875
1.6,1.4000000000000001,1.2229892733992542,1.2242187500000001
1.8,1.5750000000000002,1.376488283774217,1.3796875000000002
2.0,1.75,1.5303796293762257,1.53515625
2.2,1.9250000000000003,1.6842949417170796,1.6808593750000003
2.4,2.1,1.8383819346371815,1.836328125
2.6,2.2750000000000004,1.9921316989472915,1.9917968750000004
2.8,2.45,2.1463956633256043,2.147265625
3.0,2.625,2.300724439444723,2.302734375
3.2,2.8000000000000003,2.4551341961772124,2.4582031250000003
3.4,2.975,2.60941746949561,2.613671875
3.6,3.1500000000000004,2.7642028562512952,2.7691406250000004
3.8,3.325,2.9188406570543766,2.924609375
4.0,3.5,3.073692235004845,3.0703125
4.2,3.6750000000000003,3.228826441228316,3.2257812500000003
4.4,3.8500000000000005,3.383904316004989,3.3812500000000005
4.6,4.025,3.539390508110853,3.5464843750000004
4.8,4.2,3.695119362434083,3.701953125
5.0,4.375,3.850875511203263,3.857421875
5.5,4.8125,4.241385238436093,4.24609375
6.0,5.25,4.633434540810159,4.64453125
6.5,5.6875,5.027366069074651,5.033203125
7.0,6.125,5.423432920028717,5.431640625
7.5,6.5625,5.822066729659493,5.83984375
8.0,7.0,6.222663346921786,6.248046875
8.5,7.4375,6.625839917924207,6.65625
9.0,7.875,7.0322030450698865,7.064453125
9.5,8.3125,7.441921781539671,7.4921875
10.0,8.75,7.854020486372142,7.91015625
10.5,9.1875,8.26979561937645,8.337890625
11.0,9.625,8.689259379020966,8.765625
11.5,10.0625,9.11078544185975,9.203125
12.0,10.5,9.535774110950504,9.630859375
12.5,10.9375,9.962261441295148,10.068359375
13.0,11.375,10.389515144601713,10.49609375
13.5,11.8125,10.819711987989209,10.93359375
14.0,12.25,11.249915409456776,11.361328125
14.5,12.6875,11.678379081606742,11.7890625
15.0,13.125,12.106900743149371,12.216796875
15.5,13.5625,12.535128414450126,12.64453125
16.0,14.0,12.960063936035104,13.0625
16.5,14.4375,13.386245226471766,13.490234375
17.0,14.875,13.808979103324493,13.908203125
17.5,15.3125,14.233049418262157,14.326171875
18.0,15.75,14.65478110188127,14.75390625
18.5,16.1875,15.076255055247467,15.171875
19.0,16.625,15.498026011546122,15.58984375
19.5,17.0625,15.918716593320633,16.017578125
20.0,17.5,16.340486323533945,16.4453125
20.5,17.9375,16.761202535472655,16.86328125
21.0,18.375,17.18299196820384,17.291015625
21.5,18.8125,17.60500873028601,17.71875
22.0,19.25,18.02714713621043,18.146484375
22.5,19.6875,18.451471100919115,18.57421875
23.0,20.125,18.874575193485576,19.001953125
23.5,20.5625,19.298717463125914,19.4296875
24.0,21.0,19.72360296589673,19.857421875
24.5,21.4375,20.148998683413247,20.28515625
25.0,21.875,20.575394497477774,20.712890625
