A,N*,N1,N2
0.2,0.2,0.19511794245812936,0.2
0.4,0.4,0.39531920567558465,0.4
0.6,0.6,0.5953234501983223,0.6
0.8,0.8,0.7953278957705117,0.8
1.0,1.0,0.99532948524962,1.0
1.2,1.2,1.195329933679028,1.2
1.4,1.4,1.3953292325849562,1.4
1.6,1.6,1.59532606457486,1.6
1.8,1.8,1.795322611434312,1.8
2.0,2.0,1.9953181592754348,2.0
2.2,2.2,2.1953127890634123,2.2
2.4,2.4,2.3953065916225755,2.4
2.6,2.6,2.595295957231507,2.6
2.8,2.8,2.79528812502911,2.8
3.0,3.0,2.9952798148007793,3.0
3.2,3.2,3.1952711267065057,3.2
3.4,3.4,3.3952575931056663,3.4
3.6,3.6,3.5952483683889502,3.6
3.8,3.8,3.795239076324187,3.8
4.0,4.0,3.9952297924358655,4.0
4.2,4.2,4.195220584169917,4.2
4.4,4.4,4.395207041850839,4.4
4.6,4.6,4.5951982692512425,4.6
4.8,4.8,4.795189743609086,4.8
5.0,5.0,4.995181500779901,5.0
5.5,5.5,5.495169720221169,5.5
6.0,6.0,5.995162279364348,6.0
6.5,6.5,6.495155181162257,6.5
7.0,7.0,6.995148429407638,7.0
7.5,7.5,7.495142022590896,7.5
8.0,8.0,7.995133053560924,8.0
8.5,8.5,8.495127489443425,8.5
9.0,9.0,8.995122245227531,9.0
9.5,9.5,9.495117309785591,9.5
10.0,10.0,9.995110457752718,10.0
10.5,10.5,10.495106238860599,10.5
11.0,11.0,10.995102284488354,11.0
11.5,11.5,11.495098582462633,11.5
12.0,12.0,11.995095121273025,12.0
12.5,12.5,12.495090357872286,12.5
13.0,13.0,12.99508745385332,13.0
13.5,13.5,13.495084757119063,13.5
14.0,14.0,13.99508226015138,14.0
14.5,14.5,14.495078874944939,14.5
15.0,15.0,14.995076850210928,15.0
15.5,15.5,15.495075005447285,15.5
16.0,16.0,15.995073336603316,16.0
16.5,16.5,16.495071840105815,16.5
17.0,17.0,16.995069911617453,17.0
17.5,17.5,17.495068832950835,17.5
18.0,18.0,17.995067916665292,18.0
18.5,18.5,18.49506716036564,18.5
19.0,19.0,18.995066320210498,19.0
19.5,19.5,19.495065952786636,19.5
20.0,20.0,19.995065735760782,20.0
20.5,20.5,20.495065666071568,20.5
21.0,21.0,20.995065740164844,21.0
21.5,21.5,21.49506611184261,21.5
22.0,22.0,21.995066527492327,22.0
22.5,22.5,22.49506707089256,22.5
23.0,23.0,22.995067736825284,23.0
23.5,23.5,23.495068953286093,23.5
24.0,24.0,23.99506989729732,24.0
24.5,24.5,24.495070941958026,24.5
25.0,25.0,24.99507208015823,25.0
26.0,26.0,25.99507330139026,26.0
27.0,27.0,26.99507527351459,27.0
28.0,28.0,27.99507666939568,28.0
29.0,29.0,28.995078120262665,29.0
30.0,30.0,29.995079617372053,30.0
31.0,31.0,30.99508193078957,31.0
32.0,32.0,31.99508350546532,32.0
33.0,33.0,32.995085096386944,33.0
34.0,34.0,33.9950866952666,34.0
35.0,35.0,34.99508829418906,35.0
36.0,36.0,35.9950906763686,36.0
37.0,37.0,36.99509224305743,37.0
38.0,38.0,37.99509378534806,38.0
39.0,39.0,38.99509529713969,39.0
40.0,40.0,39.99509749619896,40.0
41.0,41.0,40.99509890914004,41.0
42.0,42.0,41.995100275396226,42.0
43.0,43.0,42.995101591385286,43.0
44.0,44.0,43.99510285431928,44.0
45.0,45.0,44.99510464485211,45.0
46.0,46.0,45.99510576639961,46.0
47.0,47.0,46.99510682983108,47.0
48.0,48.0,47.99510783448412,48.0
49.0,49.0,48.99510923187226,49.0
50.0,50.0,49.995110090509,50.0
51.0,51.0,50.995110892726245,51.0
52.0,52.0,51.995111639561244,52.0
53.0,53.0,52.99511233265979,53.0
54.0,54.0,53.995113274887025,54.0
55.0,55.0,54.99511384306262,55.0
56.0,56.0,55.99511436400056,56.0
57.0,57.0,56.99511484089145,57.0
58.0,58.0,57.995115478262825,58.0
59.0,59.0,58.99511585587453,59.0
60.0,60.0,59.99511619802247,60.0
61.0,61.0,60.99511650721193,61.0
62.0,62.0,61.99511678582493,62.0
63.0,63.0,62.99511715144582,63.0
64.0,64.0,63.995117363671554,64.0
65.0,65.0,64.99511755303402,65.0
66.0,66.0,65.99511772158009,66.0
67.0,67.0,66.99511793941625,67.0
68.0,68.0,67.99511806393552,68.0
69.0,69.0,68.99511817369248,69.0
70.0,70.0,69.9951182702,70.0
71.0,71.0,70.99511835483234,71.0
72.0,72.0,71.99511846220722,72.0
73.0,73.0,72.99511852242911,73.0
74.0,74.0,73.99511857471403,74.0
75.0,75.0,74.99511861998602,75.0
76.0,76.0,75.99511867651103,76.0
77.0,77.0,76.99511870766997,77.0
78.0,78.0,77.99511873434568,78.0
79.0,79.0,78.99511875711282,79.0
80.0,80.0,79.99511877646502,80.0
81.0,81.0,80.9951188000331,81.0
82.0,82.0,81.9951188126806,82.0
83.0,83.0,82.99511882325852,83.0
84.0,84.0,83.99511883204588,84.0
85.0,85.0,84.9951188424248,85.0
86.0,86.0,85.99511884778443,86.0
87.0,87.0,86.99511885210138,87.0
88.0,88.0,87.99511885553915,88.0
89.0,89.0,88.99511885822713,89.0
90.0,90.0,89.99511886111128,90.0
91.0,91.0,90.99511886239796,91.0
92.0,92.0,91.99511886328125,92.0
93.0,93.0,92.99511886382086,93.0
94.0,94.0,93.99511886412381,94.0
95.0,95.0,94.99511886405172,95.0
96.0,96.0,95.99511886380614,96.0
97.0,97.0,96.99511886341958,97.0
98.0,98.0,97.99511886292791,98.0
99.0,99.0,98.99511886203582,99.0
100.0,100.0,99.9951188613551,100.0
101.0,101.0,100.9951188606454,101.0
102.0,102.0,101.99511885989286,102.0
103.0,103.0,102.99511885873996,103.0
104.0,104.0,103.99511885791894,104.0
105.0,105.0,104.9951188571446,105.0
106.0,106.0,105.99511885636296,106.0
107.0,107.0,106.99511885559366,107.0
108.0,108.0,107.99511885451298,108.0
109.0,109.0,108.99511885374693,109.0
110.0,110.0,109.9951188530399,110.0
111.0,111.0,110.99511885234546,111.0
112.0,112.0,111.99511885138031,112.0
113.0,113.0,112.99511885071541,113.0
114.0,114.0,113.99511885010664,114.0
115.0,115.0,114.99511884951681,115.0
116.0,116.0,115.9951188489533,116.0
117.0,117.0,116.9951188481397,117.0
118.0,118.0,117.99511884764296,118.0
119.0,119.0,118.99511884715434,119.0
120.0,120.0,119.99511884669326,120.0
121.0,121.0,120.99511884602983,121.0
122.0,122.0,121.99511884563177,122.0
123.0,123.0,122.99511884524222,123.0
124.0,124.0,123.99511884487616,124.0
125.0,125.0,124.99511884451782,125.0
126.0,126.0,125.99511884402969,126.0
127.0,127.0,126.99511884377145,127.0
128.0,128.0,127.99511884347486,128.0
129.0,129.0,128.99511884320427,129.0
130.0,130.0,129.9951188427869,130.0
131.0,131.0,130.99511884258973,131.0
132.0,132.0,131.99511884236867,132.0
