A,N*,N1,N2
0.2,0.304,0.3208292793285629,0.313765625
0.4,0.608,0.7633320109844236,0.76425
0.6,0.9119999999999999,1.1649907872188963,1.16590625
0.8,1.216,1.5512740463993298,1.557796875
1.0,1.5199999999999998,1.9286050214011092,1.9301562499999998
1.2,1.8239999999999998,2.29924479532151,2.302515625
1.4,2.1279999999999997,2.664794303286829,2.6651093749999997
1.6,2.432,3.026672527371838,3.027703125
1.8,2.7359999999999998,3.3848054080183867,3.3902968749999998
2.0,3.0399999999999996,3.740320009076971,3.7431249999999996
2.2,3.344,4.093842663480558,4.105718749999999
2.4,3.6479999999999997,4.444788542073514,4.44878125
2.6,3.952,4.794046347350012,4.801609375
2.8,4.255999999999999,5.14084806321265,5.154437499999999
3.0,4.56,5.487350533711071,5.4975
3.2,4.864,5.8321526393785765,5.8405625
3.4,5.167999999999999,6.175752827242604,6.183624999999999
3.6,5.4719999999999995,6.518138841824251,6.5364531249999995
3.8,5.775999999999999,6.859552239323334,6.869749999999999
4.0,6.079999999999999,7.2000368008004845,7.212812499999999
4.2,6.3839999999999995,7.539829211752612,7.5558749999999995
4.4,6.688,7.878150248936221,7.8989375
4.6,6.991999999999999,8.216959611346308,8.232234374999999
4.8,7.295999999999999,8.553770067133811,8.575296875
5.0,7.6,8.890525989721986,8.90859375
5.5,8.36,9.731535283397298,9.756484375
6.0,9.12,10.567663671987228,10.594609375
6.5,9.879999999999999,11.401246746248859,11.432734374999999
7.0,10.639999999999999,12.231943363187355,12.261093749999999
7.5,11.399999999999999,13.060707580957624,13.099218749999999
8.0,12.159999999999998,13.887120292680677,13.927578124999998
8.5,12.92,14.711366661019131,14.7559375
9.0,13.68,15.534360163527065,15.57453125
9.5,14.44,16.355067508556232,16.402890624999998
10.0,15.2,17.1745826320802,17.221484375
10.5,15.959999999999999,17.992636588292868,18.04984375
11.0,16.72,18.8093598031649,18.8684375
11.5,17.48,19.624111362216787,19.68703125
12.0,18.24,20.43744641227918,20.505625
12.5,19.0,21.2507505635374,21.314453125
13.0,19.759999999999998,22.062250007189412,22.133046874999998
13.5,20.52,22.87329907932095,22.941875
14.0,21.279999999999998,23.682502846116208,23.760468749999998
14.5,22.04,24.490971576092857,24.569296875
15.0,22.799999999999997,25.2990204779718,25.378124999999997
15.5,23.56,26.105906916024715,26.19671875
16.0,24.319999999999997,26.912360445048012,27.005546874999997
16.5,25.08,27.717189580651528,27.814375
17.0,25.84,28.521844563131523,28.6134375
17.5,26.599999999999998,29.32555174966497,29.422265624999998
18.0,27.36,30.127781234857977,30.23109375
18.5,28.119999999999997,30.93062753707812,31.039921874999997
19.0,28.88,31.731971050715376,31.838984375
19.5,29.639999999999997,32.53307162980753,32.6478125
20.0,30.4,33.333429615805514,33.446875
20.5,31.159999999999997,34.133317805318036,34.2459375
21.0,31.919999999999998,34.9324961486774,35.054765625
21.5,32.68,35.73041323071966,35.853828125
22.0,33.44,36.528831133853636,36.652890625
22.5,34.199999999999996,37.32680773053512,37.451953124999996
23.0,34.96,38.12415860548968,38.251015625
23.5,35.72,38.92114802243388,39.050078125
24.0,36.48,39.71770307193756,39.849140625
24.5,37.239999999999995,40.51363004961856,40.648203124999995
25.0,38.0,41.30904454730077,41.447265625
26.0,39.519999999999996,42.90408141916931,43.035624999999996
27.0,41.04,44.494110602687854,44.63375
28.0,42.559999999999995,46.083434822406154,46.222109374999995
29.0,44.08,47.67164057477571,47.81046875
30.0,45.599999999999994,49.25741295568562,49.398828124999994
31.0,47.12,50.842930071107446,50.9871875
32.0,48.63999999999999,52.426838980616395,52.57554687499999
33.0,50.16,54.01056053947214,54.154140625
34.0,51.68,55.59203350742863,55.7425
35.0,53.199999999999996,57.17305617837427,57.330859374999996
36.0,54.72,58.75309718283884,58.909453125
37.0,56.239999999999995,60.33310242846852,60.488046874999995
38.0,57.76,61.910237123381506,62.066640625
39.0,59.279999999999994,63.48830840887068,63.645234374999994
40.0,60.8,65.06535850296216,65.223828125
41.0,62.31999999999999,66.6417049001283,66.802421875
42.0,63.839999999999996,68.21750368472019,68.381015625
43.0,65.36,69.79330155121463,69.959609375
44.0,66.88,71.36724545840515,71.5284375
45.0,68.39999999999999,72.94069780961222,73.10703124999999
46.0,69.92,74.51467895910828,74.675859375
47.0,71.44,76.08672154283023,76.254453125
48.0,72.96,77.65880526398824,77.82328125
49.0,74.47999999999999,79.2307228541971,79.40187499999999
50.0,76.0,80.80086273329083,80.970703125
51.0,77.52,82.37139164507283,82.53953125
52.0,79.03999999999999,83.93999747996199,84.11812499999999
