A,N*,N1,N2
0.2,0.2,0.19511794643969332,0.2
0.4,0.4,0.39532134578652756,0.4
0.6,0.6,0.5953255317568212,0.6
0.8,0.8,0.7953298496011867,0.8
1.0,1.0,0.9953313305813674,1.0
1.2,1.2,1.1953316550064519,1.2
1.4,1.4,1.3953308180599786,1.4
1.6,1.6,1.5953274309644025,1.6
1.8,1.8,1.7953238271910217,1.8
2.0,2.0,1.9953192238888389,2.0
2.2,2.2,2.1953137047280573,2.2
2.4,2.4,2.3953073626877375,2.4
2.6,2.6,2.595296523164752,2.6
2.8,2.8,2.795288563909217,2.8
3.0,3.0,2.995280135287884,3.0
3.2,3.2,3.1952713379933146,3.2
3.4,3.4,3.3952576583448613,3.4
3.6,3.6,3.5952483482141098,3.6
3.8,3.8,3.7952389800030106,3.8
4.0,4.0,3.995229629003304,4.0
4.2,4.2,4.195220362204475,4.2
4.4,4.4,4.395206747077785,4.4
4.6,4.6,4.595197935059395,4.6
4.8,4.8,4.795189376571831,4.8
5.0,5.0,4.995181106813693,5.0
5.5,5.5,5.495169295504739,5.5
6.0,6.0,5.995161839662886,6.0
6.5,6.5,6.495154730175214,6.5
7.0,7.0,6.9951479702839805,7.0
7.5,7.5,7.49514155799627,7.5
8.0,8.0,7.995132584741107,8.0
8.5,8.5,8.495127019935241,8.5
9.0,9.0,8.995121776413923,9.0
9.5,9.5,9.495116842710916,9.5
10.0,10.0,9.995109995311585,10.0
10.5,10.5,10.49510578045399,10.5
11.0,11.0,10.995101830845083,11.0
11.5,11.5,11.495098134284767,11.5
12.0,12.0,11.9950946792636,12.0
12.5,12.5,12.49508992646968,12.5
13.0,13.0,12.995087030499333,13.0
13.5,13.5,13.495084342647173,13.5
14.0,14.0,13.995081855461114,14.0
14.5,14.5,14.49507848675395,14.5
15.0,15.0,14.995076474325788,15.0
15.5,15.5,15.495074642973957,15.5
16.0,16.0,15.9950729886945,16.0
16.5,16.5,16.49507150795151,16.5
17.0,17.0,16.995069605362374,17.0
17.5,17.5,17.495068545493655,17.5
18.0,18.0,17.995067649208753,18.0
18.5,18.5,18.495066914086294,18.5
19.0,19.0,18.995066107792276,19.0
19.5,19.5,19.495065764260413,19.5
20.0,20.0,19.995065572062543,20.0
20.5,20.5,20.495065528048144,20.5
21.0,21.0,20.995065628539702,21.0
21.5,21.5,21.495066040876015,21.5
22.0,22.0,21.995066484154588,22.0
22.5,22.5,22.495067055387388,22.5
23.0,23.0,22.995067749199418,23.0
23.5,23.5,23.495069007244062,23.5
24.0,24.0,23.995069978445514,24.0
24.5,24.5,24.49507104977898,24.5
25.0,25.0,24.995072213967404,25.0
26.0,26.0,25.99507346021557,26.0
27.0,27.0,26.99507546778668,27.0
28.0,28.0,27.99507688568683,28.0
