A,N*,N1,N2
0.2,0.2285714285714286,0.24666332195132096,0.2481026785714286
0.4,0.4571428571428572,0.5148482784925291,0.5157366071428572
0.6,0.6857142857142857,0.7780507001479726,0.7736049107142857
0.8,0.9142857142857144,1.0378090642660622,1.0412388392857144
1.0,1.1428571428571428,1.295296186091703,1.2991071428571428
1.2,1.3714285714285714,1.55021850362162,1.5472098214285714
1.4,1.5999999999999999,1.803814801114288,1.8050781249999999
1.6,1.8285714285714287,2.0559167735597477,2.0531808035714287
1.8,2.0571428571428574,2.3065896810533837,2.3012834821428574
2.0,2.2857142857142856,2.556755331787114,2.5591517857142856
2.2,2.5142857142857147,2.8057253096770554,2.8072544642857147
2.4,2.742857142857143,3.0540398812536145,3.055357142857143
2.6,2.9714285714285715,3.301250692532436,3.3034598214285715
2.8,3.1999999999999997,3.5482385030025467,3.5417968749999997
3.0,3.4285714285714284,3.7942249096291123,3.7898995535714284
3.2,3.6571428571428575,4.039780484957943,4.0380022321428575
3.4,3.8857142857142857,4.284962707441437,4.286104910714286
3.6,4.114285714285715,4.529776537133731,4.524441964285715
3.8,4.3428571428571425,4.774147286315321,4.7725446428571425
4.0,4.571428571428571,5.018170394867559,5.010881696428571
4.2,4.8,5.261824915168956,5.258984375
4.4,5.028571428571429,5.5049695077497445,5.497321428571429
4.6,5.257142857142857,5.747806984053636,5.745424107142857
4.8,5.485714285714286,5.9904750017411255,5.983761160714286
5.0,5.714285714285714,6.232830512650187,6.222098214285714
5.5,6.285714285714286,6.8373868698536056,6.832589285714286
6.0,6.857142857142857,7.440262829591479,7.433314732142857
6.5,7.428571428571429,8.04200345823607,8.034040178571429
7.0,8.0,8.642493588217727,8.625
7.5,8.571428571428571,9.241828737783772,9.225725446428571
8.0,9.142857142857142,9.840670404520463,9.826450892857142
8.5,9.714285714285714,10.438226810364508,10.417410714285714
9.0,10.285714285714286,11.03514616598469,11.018136160714286
9.5,10.857142857142858,11.631233584448228,11.609095982142858
10.0,11.428571428571429,12.226872394365836,12.209821428571429
10.5,12.0,12.821819229601196,12.80078125
11.0,12.571428571428571,13.416495277310718,13.391741071428571
11.5,13.142857142857142,14.010177755318455,13.982700892857142
12.0,13.714285714285714,14.603767685985812,14.573660714285714
12.5,14.285714285714286,15.196713637428877,15.174386160714286
13.0,14.857142857142858,15.789180589592423,15.765345982142858
13.5,15.428571428571429,16.381350461244665,16.35630580357143
14.0,16.0,16.97300488243272,16.947265625
